Country Name,"School enrollment, tertiary (% gross)","School enrollment, secondary (% gross)","School enrollment, primary (% gross)","Government expenditure on education, total (% of government expenditure)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)","Birth rate, crude (per 1,000 people)","Mortality rate, infant (per 1,000 live births)","Life expectancy at birth, total (years)","Adolescent fertility rate (births per 1,000 women ages 15-19)",Urban population (% of total population),Access to electricity (% of population),People using safely managed drinking water services (% of population)/at least basic,"Physicians (per 1,000 people)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Inflation, consumer prices (annual %)"
North America,86.71,101.27,100.98,12.56,91.13,100.00,11.25,5.40,79.14,15.56,82.36,100.00,96.96,2.60,3.89,92.91,4.73,1.88
Namibia,26.64,65.78,125.57,26.39,91.53,95.16,28.43,30.70,63.08,66.94,51.04,53.28,84.91,0.42,20.00,61.78,31.72,3.72
Niger,4.23,24.25,66.42,13.01,35.05,43.46,45.86,60.20,62.90,175.48,16.52,18.46,19.63,0.04,0.55,5.15,94.11,-2.49
Nigeria,10.20,43.51,85.73,5.85,62.02,75.03,37.85,73.90,52.91,102.81,51.16,55.40,19.24,0.38,5.21,20.73,77.22,11.40
Nicaragua,19.56,73.43,112.73,23.95,82.61,91.57,21.31,12.80,74.05,88.62,58.76,85.66,38.54,0.98,5.20,57.30,37.14,5.38
Netherlands,85.00,115.04,106.10,12.51,98.76,99.60,9.80,3.50,82.11,2.55,91.88,100.00,99.97,3.77,3.38,83.38,12.78,2.63
Norway,83.23,118.62,100.22,15.67,98.76,99.60,10.20,1.90,82.96,2.40,82.62,100.00,98.99,4.94,3.69,93.59,4.72,2.17
Nepal,13.33,80.18,142.14,12.11,67.91,94.98,20.87,24.50,69.56,66.24,20.15,89.90,17.51,0.81,10.60,21.83,77.10,5.57
New Zealand,80.30,123.14,101.68,13.48,88.67,91.96,11.96,4.10,82.06,13.62,86.62,100.00,98.12,3.51,4.11,81.44,12.29,1.62
Oman,40.45,107.09,102.94,12.42,95.65,98.62,19.30,9.10,78.00,11.32,85.44,100.00,90.27,1.93,1.85,96.46,2.43,0.13
Pakistan,12.22,44.87,95.48,11.59,58.00,72.70,28.28,55.90,66.76,43.89,36.91,93.90,43.13,1.12,4.83,43.75,54.84,10.58
Panama,47.80,80.23,103.79,10.09,95.74,98.88,18.23,12.80,77.81,71.79,68.06,93.90,64.96,1.63,6.33,60.82,36.28,-0.36
Peru,70.70,108.83,113.48,17.76,94.41,99.02,18.04,11.60,76.16,58.81,78.10,95.55,21.77,1.27,3.38,44.54,51.55,2.25
Philippines,31.62,89.77,99.15,18.14,96.28,98.38,22.25,21.60,71.87,49.62,47.15,95.29,34.33,0.60,2.24,63.85,33.20,2.39
Papua New Guinea,1.80,46.97,108.50,7.82,63.43,68.00,26.37,36.40,65.47,57.10,13.25,23.60,49.59,0.07,2.43,22.86,74.40,3.93
Poland,69.18,111.80,97.17,11.99,99.79,100.00,9.90,3.80,77.90,9.86,60.04,100.00,90.34,2.38,3.28,79.99,15.98,2.23
Puerto Rico,109.00,85.19,82.21,14.63,93.33,92.39,6.40,5.31,79.06,21.86,93.58,100.00,99.87,1.53,8.30,82.50,13.55,0.10
Portugal,67.93,120.62,107.39,10.91,96.14,99.66,8.40,2.80,81.68,7.80,65.76,100.00,90.80,5.48,6.46,83.14,12.02,0.34
Paraguay,34.60,75.91,104.40,11.95,93.21,98.36,21.28,16.60,73.62,72.45,61.88,99.70,50.73,1.35,6.59,56.99,36.97,2.76
West Bank and Gaza,43.24,90.67,97.73,17.71,97.38,99.33,29.47,13.70,75.24,45.98,76.44,100.00,79.37,0.80,25.34,71.43,22.04,1.58
Qatar,18.95,105.47,103.54,8.64,93.46,94.64,10.74,5.20,80.99,7.55,99.19,100.00,96.64,2.49,0.10,99.57,0.10,-0.67
Romania,51.35,88.07,87.50,10.60,98.84,99.43,10.30,5.80,75.61,37.09,54.08,100.00,66.65,2.98,3.91,75.77,23.08,3.83
Russian Federation,86.40,103.60,104.17,9.29,99.73,99.70,10.10,4.70,73.08,14.95,74.59,99.78,75.95,4.18,4.50,91.97,6.61,4.47
Rwanda,6.24,44.32,131.31,11.00,73.22,86.49,30.78,31.20,66.44,32.70,17.31,46.60,51.00,0.12,12.43,33.84,66.11,3.35
South Asia,25.30,69.92,99.56,11.47,72.67,89.11,18.93,33.40,70.47,29.69,34.44,95.31,91.00,0.77,6.20,28.65,68.85,3.63
Saudi Arabia,70.90,111.79,100.71,19.07,95.33,99.30,18.45,6.30,77.30,12.03,84.07,99.99,82.56,2.75,5.64,96.23,2.01,-2.09
Sudan,16.90,45.86,76.80,11.98,60.70,73.00,34.82,41.00,65.88,84.67,34.94,57.57,24.48,0.26,17.59,47.26,47.66,50.99
Senegal,13.14,46.24,82.07,18.31,51.90,69.48,33.47,30.90,68.53,68.49,47.65,70.40,11.92,0.09,2.86,34.32,63.86,1.76
Singapore,91.09,104.71,100.69,19.47,97.48,99.93,8.80,2.00,83.60,2.51,100.00,100.00,100.00,2.46,3.10,86.54,9.20,0.57
Solomon Islands,0.00,48.32,104.29,30.06,76.60,91.96,30.76,17.10,70.38,61.36,24.21,69.40,49.59,0.19,0.74,37.36,61.64,1.63
Sierra Leone,2.00,41.80,143.73,35.01,43.21,66.65,32.55,82.80,60.26,106.73,42.48,22.70,12.04,0.03,3.19,9.83,87.25,14.80
El Salvador,29.92,76.90,106.28,12.45,89.14,98.35,16.42,11.50,72.56,57.81,72.75,97.36,79.52,1.57,4.17,60.87,34.60,0.08
San Marino,49.68,59.89,97.35,15.06,99.92,100.00,6.70,1.60,85.4,3.49,97.37,100.00,100.00,6.11,5.60,,,1.00
Somalia,2.50,5.51,23.40,4.26,5.40,13.14,44.56,74.90,57.08,121.13,45.55,49.20,24.48,0.02,18.83,11.02,87.90,4.52
Serbia,67.79,94.47,99.64,8.60,99.48,100.00,9.30,4.90,75.94,13.81,56.26,99.80,66.56,3.11,10.39,72.30,24.34,1.85
South Sudan,0.75,11.01,73.00,9.35,34.52,47.90,29.06,63.80,55.91,98.79,19.90,6.77,24.48,0.04,12.20,9.24,89.23,87.24
Sub-Saharan Africa,9.45,43.73,99.05,14.61,67.06,77.12,35.43,52.30,61.24,102.98,40.76,47.13,30.41,1.08,6.07,24.46,73.20,2.80
Small states,21.73,75.89,106.50,13.89,86.64,92.03,20.97,31.78,69.47,55.70,59.20,81.62,,,8.33,66.22,30.94,1.52
Sao Tome and Principe,18.10,89.34,106.79,17.59,92.82,67.59,28.92,13.60,68.52,82.12,73.60,75.12,23.29,0.49,14.08,40.09,57.57,7.72
Suriname,12.60,82.26,109.23,15.28,94.38,98.65,18.41,16.30,72.24,56.97,66.10,97.93,40.28,1.21,8.03,77.26,19.09,4.39
Slovak Republic,46.43,90.81,100.82,10.55,98.76,99.60,10.50,4.80,77.67,26.88,53.73,100.00,99.08,3.57,5.75,84.95,12.06,2.66
Slovenia,77.88,113.03,103.01,11.33,99.70,99.80,9.30,1.90,81.53,4.46,54.82,100.00,97.91,3.28,4.45,86.33,10.08,1.63
Sweden,77.33,146.25,126.16,15.90,98.76,99.60,11.10,2.10,83.11,3.43,87.71,100.00,99.71,3.98,6.83,90.16,6.22,1.78
Eswatini,6.75,82.41,114.46,18.51,88.42,95.47,25.12,43.90,60.55,71.81,23.98,77.03,77.32,0.24,22.78,65.13,32.76,2.60
Seychelles,19.17,78.61,100.36,11.13,95.87,99.06999969,16.40,12.40,74.05,55.74,57.12,100.00,96.42,2.25,2.70,81.10,16.80,2.07
Syrian Arab Republic,43.05,64.04,102.55,19.18,86.30,96.10,18.88,18.80,71.82,38.82,54.82,89.23,82.56,1.22,8.74,59.84,37.99,36.70
Chad,3.30,20.56,89.19,14.21,22.31,31.75,44.23,69.30,53.26,143.45,23.28,8.40,17.33,0.05,1.12,8.82,89.96,-0.97
Togo,13.68,63.28,124.32,19.23,66.54,87.89,32.76,45.60,60.90,79.62,42.25,52.46,18.36,0.08,3.71,23.26,75.17,0.67
Thailand,44.85,104.97,98.02,17.01,93.77,98.14,9.38,7.70,78.98,33.63,50.69,99.90,61.08,0.92,0.72,49.72,47.74,0.71
Tajikistan,31.30,88.50,100.90,18.66,99.80,99.90,28.27,29.40,70.87,47.84,27.31,99.45,55.21,1.70,7.04,72.01,24.50,6.00
Turkmenistan,14.23,89.67,117.91,23.01,99.70,99.80,23.06,36.90,69.00,23.30,52.05,99.90,92.35,2.22,4.23,68.67,27.98,5.09
Timor-Leste,17.80,86.53,112.48,6.87,68.07,83.54,25.51,45.70,68.27,35.21,30.95,90.63,61.08,0.77,4.45,33.07,65.98,0.96
Tonga,6.40,94.09,115.45,11.93,99.41,99.44,23.42,10.10,70.87,19.50,23.11,98.40,23.12,0.52,2.24,50.60,48.31,1.18
Trinidad and Tobago,12.00,85.51,106.20,10.62,98.97,100.00,12.36,15.50,74.23,39.11,53.19,100.00,80.00,4.48,3.52,75.59,19.10,1.00
Tunisia,31.85,92.87,115.40,22.67,79.04,96.21,17.22,14.50,75.99,7.07,69.25,100.00,65.09,1.30,15.13,76.59,17.66,6.72
Turkiye,115.04,104.12,97.06,12.47,96.74,99.91,15.59,8.60,77.83,19.29,75.63,100.00,92.20,1.93,13.67,68.46,27.07,15.18
Tanzania,3.09,30.83,96.27,14.29,77.89,85.75,37.11,35.90,66.99,126.38,34.50,37.70,10.40,0.01,2.21,15.80,81.21,3.46
Uganda,4.80,24.18,102.70,11.47,76.53,89.40,37.67,33.20,62.99,112.08,24.36,41.30,15.81,0.17,3.55,22.16,73.79,2.87
