Country Name,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Birth rate, crude (per 1,000 people)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Fertility rate, total (births per woman)",Individuals using the Internet (% of population),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Mortality rate, infant (per 1,000 live births)",People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),"Probability of dying among adolescents ages 10-14 years (per 1,000)","Probability of dying among adolescents ages 15-19 years (per 1,000)","Probability of dying among children ages 5-9 years (per 1,000)","Probability of dying among youth ages 20-24 years (per 1,000)",Rule of Law: Estimate,"School enrollment, preprimary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",Urban population (% of total population),Urban population growth (annual %),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
Colombia,92.1,99.44425964,61.82,14.682,15.76901,64.10709,1.765,65.00690072,76.752,95.24926758,11.8,96.89252467,92.15109154,1.4,4.3,1.1,6.7,-0.371536016,38.53,100.8063126,54.97652054,81.104,2.233509463,45.933614,50.41784
Comoros,9.6,83.32794952,60.615,30.4,35.60773,45.01015,4.125,16.38375122,64.068,58.81702042,41.6,80.21050148,35.90667575,1.8,3.8,3.9,4.3,-1.137524605,21.80785942,59.46886063,8.99,29.164,2.557093459,58.098557,40.96201
"Congo, Dem. Rep.",4.2,19.1,110.747,42.656,56.26814,34.07409,6.253,16.48118911,60.276,77.0,65.9,35.67805731,16.41666246,9.6,17.9,11.5,19.8,-1.798251152,5.675370216,46.17,6.6,45.046,4.495717425,77.89607,19.85527
"Congo, Rep.",32.2,47.7288208,106.697,31.676,36.30391,42.70581,4.296,9.0,62.747,80.29875946,35.9,73.59586981,20.36426311,5.2,6.9,6.2,13.5,-1.176690459,14.2859602,66.4438858,12.67,67.373,3.03586515,73.654758,25.32441
Costa Rica,95.4,99.71,44.882,12.847,17.37481,64.99229,1.632,81.20259644,79.427,97.86379242,7.2,99.79752937,97.8532217,1.0,2.8,0.7,4.8,0.554161429,95.63549805,141.3639832,57.67481995,80.076,1.788517924,23.285978,73.35863
Cote d'Ivoire,28.7,68.56665039,107.17,34.554,45.94494,43.60949,4.538,36.28895457,59.319,89.89341736,59.0,72.54105817,34.77796746,10.7,10.9,14.2,16.3,-0.58926332,8.345899582,54.61299133,9.952599525,51.239,3.433099047,70.0742,28.27709
Croatia,100.0,100.0,9.062,8.9,6.194014,66.13984,1.47,79.07978368,78.42439024,99.3,4.0,98.68,96.15083016,0.5,1.8,0.7,2.0,0.372456163,70.83030701,100.1194305,67.72174835,57.242,-0.037465607,7.428415,87.65156
Cuba,94.0,99.8,52.618,9.752,17.46173,65.58624,1.551,67.97080866,77.611,99.75,4.2,94.14848234,90.65619033,1.0,2.0,0.9,2.7,-0.325435102,97.22908783,100.3396225,44.25410843,77.109,-0.008560069,22.404928,72.26299
Cyprus,100.0,100.0,6.955,10.794,2.410654,79.15459,1.332,86.06362996,81.397,99.1,2.3,99.76519236,99.39581599,0.6,1.1,0.6,1.9,0.754275918,87.14402771,100.8504333,88.48532867,66.805,0.810045861,11.7125848,86.3468
Czechia,100.0,100.0,9.851,10.5,2.66376,60.08629,1.71,80.86694441,79.22926829,99.0,2.4,99.88046889,99.13713453,0.5,1.4,0.4,2.3,1.046309829,113.3944092,101.3015518,65.58698273,73.921,0.568457639,13.7726307,83.19904
