Country Name,Country Code,Group,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Birth rate, crude (per 1,000 people)","Compulsory education, duration (years)","Contributing family workers, total (% of total employment) (modeled ILO estimate)",Current health expenditure (% of GDP),"Death rate, crude (per 1,000 people)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","Fertility rate, total (births per woman)",GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"Government expenditure on education, total (% of GDP)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Mortality rate, infant (per 1,000 live births)",Out-of-pocket expenditure (% of current health expenditure),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,Population density (people per sq. km of land area),Population growth (annual %),"Preprimary education, duration (years)","Primary education, duration (years)","Probability of dying among adolescents ages 10-14 years (per 1,000)","Probability of dying among adolescents ages 15-19 years (per 1,000)","Probability of dying among children ages 5-9 years (per 1,000)","Probability of dying among youth ages 20-24 years (per 1,000)",Rule of Law: Estimate,"School enrollment, preprimary (% gross)","School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)","Secondary education, duration (years)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Urban population (% of total population),Urban population growth (annual %),Voice and Accountability: Estimate,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
Sri Lanka,LKA,country,30.2,99.76135254,15.957,52.38770205,14.534,11,6.725193,3.66153812,7.072,25.32719,27.60672,47.06609,49.81,24.288,2.019,89014978319,-0.220483887,4082.694048,-0.829146715,1.929999948,99,99,50.68732735,3.528393582,30.503,52.25,8666096,76.008,92.25296021,6.2,51.07418823,88.39140851,92.48794077,-0.217622802,352.4316946,0.611875946,2,5,0.9,1.7,0.7,2.5,0.060809005,70.53970337,100.2300568,100.3352203,21.12770081,8,2.82954,4.67,20.375,18.585,1.200113165,-0.088468514,39.024433,58.20547
St. Kitts and Nevis,KNA,country,100,100,40.289,40.8680248,12.693,12,null,4.93305063,9.91,null,null,null,null,null,1.568,1107844444,4.047063509,23219.40905,4.153919355,4.300000191,97,97,79.78450689,-0.329562064,null,null,null,71.572,null,13,46.36796951,98.61,94.95,0.723924637,183.5076923,-0.102646831,4,7,1.6,6,1.3,10.2,0.474864781,112.2621613,108.7482376,null,null,5,6.34118,null,null,30.799,-0.027216439,0.816921651,null,null
St. Lucia,LCA,country,94.8,100,38.493,38.18577155,11.834,10,0.2510794,4.33346367,8.068,10.05726,14.63652,75.30505,58.853,36.263,1.424,2094185185,-0.649970292,11726.67715,-1.036615553,3.266060114,92,96,76.98385013,0.539087559,56.25,69.5,100650,73.445,90,21.7,46.23881149,96.88750593,83.37232161,0.913268566,292.7590164,0.389934037,4,7,1.3,3.9,1.7,5.1,0.607307673,72.32901001,102.3345337,89.86512756,15.37464046,5,9.47123,15.32,35.533,18.754,0.794404406,0.900114715,23.8185194,71.37343
St. Martin (French part),MAF,country,null,100,15.714,49.55748216,16.483,null,null,null,4.661,null,null,null,null,null,2.485,null,null,null,null,null,null,null,null,null,null,null,null,79.983,null,null,null,99.93942327,100,null,662.42,-2.183055951,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
St. Vincent and the Grenadines,VCT,country,93.7,100,49.592,49.21569464,13.346,12,1.313548,4.32406807,10.1,10.42673,20.0392,69.53641,52.707,32.997,1.838,910765709.8,0.662073229,8680.241982,1.004572182,5.7,97,99,73.96834305,0.913069725,53.397,65.143,52973,72.835,96,13.4,29.03186607,95.15,87.18,0.953555167,269.0358974,-0.339668746,2,7,3.2,6.2,1.6,7.9,0.475298375,117.9001236,112.0311127,107.2264099,8.471161842,5,7.15801,19.09,38.203,52.614,0.453886037,0.899553359,21.182428,73.81303
Sudan,SDN,country,58,57.57051849,84.673,80.07460384,34.823,8,9.577346,4.63369366,6.586,40.6868,14.22637,45.08683,39.999,17.804,4.617,32338079165,-2.178251045,748.0109253,-4.968250702,2.22,93,90,25.9,50.9940515,26.467,48.534,12330619,65.876,60.6971817,41,66.50894389,61.60565353,36.77826076,-1.701786637,23.14351874,2.893589969,2,6,3,10.8,5.2,16,-1.161944866,47.39994049,78.95290375,45.86418915,16.92,5,0.00506,17.586,32.73,34.936,3.738689772,-1.660263658,47.655926,47.26153
Suriname,SUR,country,93.9,97.93016052,56.966,51.61221887,18.409,6,4.046877,8.43241405,7.06,7.634594,26.09012,66.27484,51.815,27.929,2.394,4016040575,1.168797882,6690.044786,0.05885853,6.832260132,77,64,56.80248377,4.3,37.301,56.338,246509,72.242,94.38327026,16.3,15.37580109,97.54177354,89.24914259,0.101494126,3.848083333,1.103178985,2,6,2,4.8,1.8,6.5,-0.06324745,94.1855011,109.2274399,82.26363373,12.56,7,6.63315,8.029,25.125,66.095,1.156193605,0.364362627,19.089797,77.26118
Sweden,SWE,country,100,100,3.432,60.54457055,11.1,10,0.2473176,10.83224297,8.6,1.690581,18.41933,79.89008,60.128,43.966,1.71,5.34E+11,1.986195874,51939.42974,0.957561656,7.638510227,98,97,94.49344341,1.784150974,55.016,64.536,5456623,83.1097561,99,2.1,13.71330547,99.71740999,98.89729066,1.039472699,25.23766548,1.013722263,6,6,0.4,1.2,0.3,2.2,1.823913097,99.58274841,126.1641312,146.2463226,77.32910919,6,9.29617,6.83,20.086,87.708,1.330044339,1.560920477,6.2222826,90.1579
Switzerland,CHE,country,100,100,2.185,50.59279812,10,11,1.788763,11.28695965,7.9,2.592748,20.34204,77.06521,65.235,61.17,1.48,7.21E+11,1.141982325,84121.93103,0.423089768,5.093264103,96,95,93.14608695,0.36288618,66.479,68.23,4971006,83.90487805,99,3.5,25.29318237,99.99999872,99.8998724,1.32495296,217.0427817,0.713313668,2,6,0.4,1.1,0.3,1.5,1.898181319,102.6939621,105.7872772,102.3407822,63.30805969,7,10.39688,4.39,7.986,73.849,0.783765812,1.496996284,8.808509,85.62613
Syrian Arab Republic,SYR,country,96.9,89.23056793,38.818,68.6075504,18.883,9,1.938542,3.57,5.033,13.0646,21.30082,65.63461,40.494,21.893,2.835,22600896352,1.220705221,1124.520554,-2.630992159,5.13,54,65,34.65,13.7,27.633,44.373,5690125,71.822,86.4,18.8,53.69,93.87294349,93.95593183,-2.72988081,109.4497141,3.87953676,3,6,2.2,4.9,2.5,8.9,-2.074671745,5.55,81.66,52.53,43.04687881,6,0.19829,8.742,20.773,54.821,5.088914985,-1.993762493,37.986992,59.8437
