Country Name,Country Code,Group,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Birth rate, crude (per 1,000 people)","Compulsory education, duration (years)","Contributing family workers, total (% of total employment) (modeled ILO estimate)",Current health expenditure (% of GDP),"Death rate, crude (per 1,000 people)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","Fertility rate, total (births per woman)",GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"Government expenditure on education, total (% of GDP)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Mortality rate, infant (per 1,000 live births)",Out-of-pocket expenditure (% of current health expenditure),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,Population density (people per sq. km of land area),Population growth (annual %),"Preprimary education, duration (years)","Primary education, duration (years)","Probability of dying among adolescents ages 10-14 years (per 1,000)","Probability of dying among adolescents ages 15-19 years (per 1,000)","Probability of dying among children ages 5-9 years (per 1,000)","Probability of dying among youth ages 20-24 years (per 1,000)",Rule of Law: Estimate,"School enrollment, preprimary (% gross)","School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)","Secondary education, duration (years)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Urban population (% of total population),Urban population growth (annual %),Voice and Accountability: Estimate,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
Turks and Caicos Islands,TCA,country,null,100,17.137,36.48143455,12.849,13,null,null,8.458,null,null,null,null,null,1.692,1197415000,5.324551483,27795.14856,1.429890144,2.505089998,null,null,null,null,null,null,null,75.326,null,4,null,98.75229824,93.13486743,null,45.34736842,3.767872714,2,6,0.8,2.1,0.5,3.2,null,87.61329651,110.6045914,76.53668213,null,5,null,null,null,93.36,4.046567587,null,null,null
Tuvalu,TUV,country,72.5,99.7,33.234,59.63864199,23.619,8,null,20.88978577,10.161,null,null,null,null,null,3.199,54123195.27,13.82198443,4940.050682,12.8765846,null,92,96,49,3.5,null,null,null,64.278,null,19.3,0.32330775,99.19926608,83.49960383,1.19691658,365.2,0.834063769,3,6,2.2,4.6,2.6,5.9,0.568812311,82.9447937,85.29981232,66.04342651,null,7,1.24819,null,null,63.215,2.16003728,1.195989728,null,null
Uganda,UGA,country,0.8,41.3,112.081,91.740204,37.667,7,13.54672,3.79804969,5.823,63.51083,9.024741,27.46441,67.517,51.156,4.809,35348155092,6.438745034,823.0247328,2.885708923,1.529999971,93,87,6.017815092,2.867588034,54.175,70.005,16175558,62.991,76.52749634,33.2,38.26028442,54.32668724,20.40809045,-0.691217363,214.1885099,3.395090564,3,7,5.3,13.7,8.4,14.3,-0.328430355,14.41,103.12,25.44,5.14,6,12.2144,3.554,5.571,24.361,5.834181652,-0.644737601,73.78534,22.15712
Ukraine,UKR,country,95.2,100,16.547,47.75786636,8.1,11,0.2237584,7.09389353,14.7,15.10302,23.90976,60.98722,51.707,30.668,1.228,1.54E+11,3.199503864,3661.457764,3.793723912,5.441299915,80,93,70.1248443,7.886717456,36.265,56.32,21148251,71.82731707,99.99,7.3,51.11891937,93.51157783,97.74159919,-1.423575878,76.60718502,-0.53099416,5,4,0.9,2.4,0.8,3.7,-0.724594474,87.50475311,99.04,96,82.67,7,8.69842,8.19,15.435,69.473,-0.356674336,0.023895197,14.6033284,84.55295
United Arab Emirates,ARE,country,100,100,3.825,19.30784361,9.75,12,0.8331145,4.29904938,1.471,2.241195,28.84476,68.91404,80.552,48.112,1.334,4.18E+11,1.108348135,45376.17084,0.323686527,3.86736989,99,99,99.14999796,-1.931081148,51.959,82.474,6479503,79.726,95.52648163,5.8,12.55036926,100,99.09848009,0.685608506,129.7051112,0.779087177,6,5,0.8,2.3,0.9,2.8,0.83439666,99.02423859,114.4123611,102.160347,52.60697937,7,2.36873,2.33,7.405,86.789,1.087204403,-1.140098095,1.4041781,95.06022
United Kingdom,GBR,country,100,100,11.342,57.24454909,10.7,11,0.3897902,9.87480068,9,1.047265,18.12284,80.82989,60.846,50.389,1.63,2.86E+12,1.604308648,42747.08046,1.032740842,5.207749844,93,91,92.51662855,1.738104601,56.642,63.21,34695933,81.40487805,99,3.8,16.38647461,99.99999734,99.10806003,0.53973186,276.2630802,0.564131113,5,6,0.4,1.2,0.3,1.9,1.598685265,105.8803787,100.4914627,118.73629,65.77336121,7,10.8168,3.74,11.039,83.652,0.868230887,1.261355519,13.3549202,84.43135
United States,USA,country,100,100,16.414,52.73635005,11.4,12,0.0506572,16.67647362,8.7,1.679713,19.61797,78.70235,60.329,46.556,1.706,2.14E+13,2.294439078,65120.39466,1.829668388,4.988709927,94,90,89.43028486,1.812210075,50.809,62.628,167100511,78.78780488,99,5.5,11.32606125,99.74463092,99.68443506,0.134975299,35.89317567,0.455381286,2,6,0.8,2.6,0.6,4.8,1.453735709,72.21417236,100.9813004,100.0634308,87.88871002,6,9.56731,3.67,8.371,82.459,0.701867775,0.903775811,3.9811492,93.90617
Uruguay,URY,country,100,99.9,38.377,54.64662635,10.822,14,0.823209,9.39027691,10.057,8.535695,18.86989,72.59447,58.139,34.117,1.546,62048585619,0.744431645,18098.36155,0.704262098,4.703259945,94,96,83.35153377,7.881988709,47.479,63.7,1743411,77.508,98.7703476,5.8,15.46145821,99.48723799,97.76780017,1.038879156,19.58866987,0.039880674,6,6,0.9,3.5,0.7,5.5,0.629673481,95.90068817,104.3050385,123.0038223,65.15686035,6,5.45265,8.73,28.142,95.426,0.136356775,1.226976991,24.713549,71.4549
Uzbekistan,UZB,country,83.5,99.99899292,17.452,51.90894353,24.3,12,2.873482,5.43133879,4.6,24.33034,24.52741,51.14227,53.11,31.24,2.785,60283503705,5.981561944,1795.201768,4.011392185,7.001860142,96,98,70.39999865,14.52573596,36.09,56.416,13371837,71.344,99.99994659,13.8,57.68497086,95.62743615,95.93921785,-0.284819692,76.22283256,1.876470167,4,4,1.8,3.5,1.7,3.9,-1.060045958,32.96261978,102.2214813,97.41873932,12.5820303,8,2.60223,5.861,13.44,50.433,1.787284108,-1.653113842,34.379192,53.55104
Vanuatu,VUT,country,7.6,64.50218201,65.864,77.100569,30.4,7,2.419458,3.31453276,5.663,49.2267,7.938522,42.83397,67.991,52.113,3.813,936526267.6,3.241187655,3076.589886,0.831127737,1.777879953,90,80,50.73047713,2.762520194,54.536,69.208,126759,69.877,87.50630951,20.9,8.07740307,90.0654259,48.340869,1.021924138,24.97161608,2.362076374,2,6,2.4,4.8,2.8,6.2,0.22112903,105.7692337,118.642601,51.64,4.74,7,1.87288,1.757,4.443,25.394,2.835422403,0.680349052,66.316288,33.13446
"Venezuela, RB",VEN,country,95.9,99.84477997,85.343,56.80547935,16.888,17,0.4706905,2.18563724,7.017,11.64183,17.80503,70.55313,52.452,25.041,2.25,73000000000,-25.5,5368,-23.55,1.3,64,93,72,146101.7,28.688,55.266,11431538,72.161,97.1,21.1,34.12151718,93.86289557,96.7597096,-1.536777735,32.84585114,-2.904995745,5,6,2.1,11.5,1.5,16,-2.253593683,69.52,99.02,89.01,79.3,5,3.01625,5.092,12.712,88.24,-2.868724752,-1.430440187,37.2522205,60.38234
Vietnam,VNM,country,93,99.4,34.703,44.78602989,15.663,10,14.15159,5.03395176,6.706,34.97985,28.80812,36.21203,74.359,54.189,1.948,3.34E+11,7.359281,3491.091279,6.392604079,4.061970234,89,95,68.66158021,2.795823675,57.343,75.63,55877866,74.093,95.7538681,16.8,45.11717224,95.98905365,86.6378025,0.025495587,305.5770717,0.904491215,6,5,1.7,2.9,1.3,3.5,-0.027242661,95.88878632,115.435173,58.26,28.63998032,7,9.33984,1.68,5.501,36.628,2.859150286,-1.40561986,52.74875,45.12808
Virgin Islands (U.S.),VIR,country,null,100,31.85,62.67709811,12.3,12,0.2278149,null,8.2,1.8386,17.19064,80.97076,45.843,24.38,2.05,4117000000,2.777777778,38596.03071,3.097666614,null,null,null,64,null,33.587,52.303,45034,79.66829268,null,null,null,98.71826738,99.10334716,1.065073848,304.7685714,-0.310759833,null,6,null,null,null,null,1.083817363,null,null,null,null,6,null,12.35,27.412,95.832,-0.194483191,null,7.1131839,89.86626
West Bank and Gaza,PSE,country,100,100,45.982,75.83273976,29.466,10,3.887427,9.2,3.225,6.045295,30.36652,63.58808,33.052,18.167,3.642,17133500000,1.362687466,3656.858271,-1.151613665,5.3,99,99,70.6225837,1.580183336,30.27,44.27,1249457,75.241,97.37825775,13.7,33.07,97.58650673,98.15310988,-1.89528954,778.2900332,2.511782463,2,4,1.8,3.2,1.8,3.8,-0.488022923,54.39619064,97.7313385,90.67230988,43.23548126,8,0,25.34,39.983,76.44,2.873518148,-1.026804805,22.035817,71.4345
"Yemen, Rep.",YEM,country,61.4,72.77657318,57.83,76.18093395,31.778,9,12.56329,4.25,6.416,29.99571,10.89766,59.10663,33.096,19.965,3.963,21888000000,1.4,702.29,-1.1,5.5,73,67,27,15.4,26.453,38.032,7138301,65.092,70.1,46.5,80.96,59.71657984,53.62693884,-2.770830393,59.75091577,2.426207929,6,6,2.6,8.9,4.6,14.9,-1.782238603,1.59,93.64,51.58,10.15,6,0.02778,12.978,24.524,37.273,4.133612809,-1.78093493,49.33779,44.09477
Zambia,ZMB,country,11.5,43,122.836,84.54315562,35.462,7,28.82604,5.31950092,6.571,57.37186,9.09218,33.53595,56.241,32.871,4.451,23308667781,1.441306026,1268.120941,-1.564236877,4.46517992,88,93,16.8,9.150316443,36.656,59.54,6117559,62.793,86.74796295,42.4,10.21756363,66.85339838,35.45946715,-0.113846861,24.72521422,3.007618107,4,7,4,9.1,7,12.5,-0.46354416,8.7,99.79,19.93,4.12,5,3.85176,5.54,10.325,44.072,4.265728185,-0.309643388,75.12742,24.57613
Zimbabwe,ZWE,country,30.2,46.68209457,97.354,81.20785821,31.518,7,9.348993,3.65976548,8.043,62.39797,11.19596,26.40608,60.941,44.248,3.599,21832234926,-6.332446407,1421.868596,-8.177320352,3.9,90,85,26.58827407,255.3049908,50.064,65.79,5912685,61.292,86.5,37.1,9.08337116,63.0949538,35.77433581,-0.959749401,39.69137392,1.989252748,2,7,6.9,9.7,4.9,15,-1.292070866,71.71218872,97.14021301,52.41,8.88,6,3.62809,7.37,11.616,32.21,1.99235149,-1.16470468,67.463783,32.25314
Africa Eastern and Southern,AFE,aggregate,19.78815582,44.38977283,99.08557226,82.69205872,34.3414502,7,22.66034064,5.804298326,7.434644049,55.96057918,10.77762067,33.26180591,65.02428634,45.74179096,4.482898067,1.00E+12,2.087765413,1499.954437,-0.587557018,4.600084305,79.24246001,74.43796977,22.58959071,4.653664731,50.97817513,70.01014185,271671865,63.75567792,71.5740509,44.08134954,15.77224474,56.87769713,31.15840847,null,44.94692958,2.691134381,3,6,5.448135301,10.49326842,7.998933878,13.66385318,null,29.22009087,104.6796799,42.50875092,9.096150398,6,4.611126543,7.121663119,13.28100488,36.33625937,4.090983086,null,70.5100962,27.01900213
Africa Western and Central,AFW,aggregate,14.29409544,51.16081703,108.7785357,87.04130961,37.02783363,9,15.54041293,3.346484711,10.48874793,44.31363022,12.47307262,43.21329363,59.24066273,32.23663925,5.118932039,8.23E+11,3.212407147,1810.538006,0.56358047,3.023039937,67.7416324,65.30019423,35.27644793,1.760111512,34.96086801,61.8775954,158740921,57.55579555,60.17866135,63.55601141,59.52011991,70.79848719,35.73311917,null,50.22298387,2.633982069,3,6,7.514980442,9.511313399,12.8115059,12.29357907,null,23.79231071,90.52320099,45.39273071,10.00479031,7,4.256344695,4.2614142,9.005564683,47.25541322,3.967222452,null,77.67336508,20.20203805
Arab World,ARB,aggregate,87.79873981,90.35280229,47.49533873,62.13616425,24.59862038,9,5.343015631,4.834227582,5.198866421,17.83935695,24.85851591,57.30212442,41.81754427,18.94447661,3.224518945,2.87E+12,1.377703184,6498.529037,-0.671140196,2.988470078,86.46325175,84.73178876,60.73102916,1.091848027,25.5044063,46.54919649,136747062,71.84462603,73.18887329,26.8987597,33.33350778,88.33975473,83.22994629,null,33.69842802,2.062686901,3,6,2.416162676,5.497893128,3.315618332,7.286710659,null,27.77190971,96.07525635,72.44197845,33.31344986,6,0.358011888,10.16515832,26.37393193,58.88381697,2.505270748,null,24.77518497,70.53570374
Caribbean small states,CSS,aggregate,89.9344709,98.02995092,43.50317858,43.76575081,13.93175575,6.5,1.406583734,6.188404998,7.485219839,10.71751769,19.33489634,69.94762262,58.07928942,32.21721419,1.687869754,77282796216,0.826853047,10409.71638,0.155244611,4.430865049,93.46349524,92.08360511,73.59966331,1.215949456,40.06845466,62.34599669,3424422,72.52340995,90.79,15.37623917,33.34174912,95.09035843,89.77426413,null,18.33790787,0.670567417,4,6.5,1.895185734,4.377567798,1.669195906,7.143937847,null,79.90283966,96.55419159,87.20326996,23.03,5,5.283408722,6.844145295,18.95711112,51.41264718,0.924840605,null,27.53638702,68.38517353
Central Europe and the Baltics,CEB,aggregate,100,99.94516097,19.38972267,51.90579478,9.909592174,10,2.375780694,6.668329831,11.98180006,9.269684709,31.88385738,58.84645873,55.01741536,28.65513294,1.570806157,1.67E+12,3.939550679,16349.00536,4.081570269,4.29046011,94.05879392,93.17144224,78.72907213,2.664561334,32.40188418,57.17963449,49577634,77.26684467,99.34319305,4.092127285,20.62670961,96.66412582,95.1929591,null,92.66895471,-0.136450277,6,5,0.6885436,1.793497992,0.536071084,2.63710921,null,92.96520233,95.28640747,100.8399734,63.34917831,8,12.55461579,3.780900505,11.6366579,62.43813921,0.030923411,null,14.36968951,82.2924372
Early-demographic dividend,EAR,aggregate,64.07400752,92.8276589,37.18252403,53.86348864,19.57827063,10,11.95563263,4.570120258,6.463349872,34.12619295,22.8366035,43.03719653,51.15056088,29.96411368,2.421715155,1.17E+13,2.390262687,3506.634175,1.126593089,3.663199902,87.27793826,87.80814903,39.59188762,2.759808735,35.72282701,54.53129718,1294496951,71.01658296,79.96681976,28.03563865,37.53841221,90.33681196,71.9354798,null,100.1345822,1.249591784,4,6,2.529848892,4.567758702,2.59377677,5.901875827,null,56.93508911,102.007782,75.1982193,31.97319031,6,3.449555755,6.199371888,17.97243146,45.47456684,2.15047979,null,55.85435608,40.99909103
East Asia & Pacific,EAS,aggregate,78.15915409,97.87211754,21.41743363,46.31408533,12.07139423,9,10.5274652,6.688581461,7.253499124,24.60319424,25.62159365,49.77521318,64.2608473,43.49675163,1.692049714,2.70E+13,3.961600412,11480.70382,3.410616692,3.447895765,93.05448722,93.76411046,63.66743365,1.703978632,48.18683405,66.81086353,1260694475,76.79777484,95.86206055,11.9,25.75293401,94.62588343,89.58989502,null,96.19695991,0.53281156,5,6,1.4,2.5,1.4,3.5,null,83.17433167,103.1011505,86.78437805,48.21516037,6,5.372417182,3.816317549,9.695880087,59.89097789,1.956390234,null,40.53928399,55.74342379
East Asia & Pacific (excluding high income),EAP,aggregate,75.93119068,97.64600191,23.03892366,45.11925327,12.60465719,9,11.50269252,5.070951475,7.070749214,27.13585324,25.79247046,47.07167705,64.70687583,43.69500147,1.73778424,1.72E+13,5.782893628,8169.008923,5.186929935,3.188205838,92.81716327,93.64198121,60.22344879,1.933213358,48.51260103,67.33016464,1125796470,76.0020203,96.11556244,12.41994632,35.19373629,94.11738094,88.50645144,null,131.7621849,0.566575802,4,6,1.465472856,2.592287249,1.506377341,3.620081702,null,82.73789215,103.3828506,85.34004211,45.51285172,6,5.151492854,3.895632475,9.890138691,56.58761356,2.257266438,null,44.04496335,52.20239786
East Asia & Pacific (IDA & IBRD countries),TEA,aggregate,76.73384803,98.25548803,23.32715113,45.14795631,12.59383138,9,11.16086298,5.071003263,7.048374601,26.88769872,25.96644119,47.14586056,64.60496421,43.43577442,1.736512287,1.72E+13,5.782907819,8259.763256,5.18552305,3.188205838,92.7667881,93.58947217,60.22353285,1.933213358,48.25864425,67.23505739,1110198501,76.03665735,96.06794739,12.41109012,35.19318328,94.12103329,88.5544348,null,131.1394378,0.567934399,4.5,6,1.46150974,2.573423776,1.501135864,3.599319142,null,82.82148743,103.5225372,85.24816895,45.76940155,6,5.162409975,3.911264641,9.935094538,56.51921039,2.276838193,null,43.47808834,52.73967679
Euro area,EMU,aggregate,100,100,7.063528915,55.9967845,9.111708169,10,0.58457873,10.23526341,10.04498281,2.960649107,23.45313315,73.58622083,52.97238384,33.8884461,1.504971409,1.34E+13,1.583982869,39183.10234,1.469013678,4.910289764,94.26894596,95.12085028,83.40113981,1.445659769,40.18993789,57.2813424,166826541,82.32775602,99.35,3.10541861,15.54288303,99.86340318,99.02264566,null,127.7819439,0.113304729,6,6,0.412436342,1.040038218,0.366473553,1.636839473,null,101.0241928,102.4077835,107.470108,77.01676178,6,10.55960406,7.522523889,18.27742072,77.23167071,0.423939422,null,9.983854633,85.41679513
Europe & Central Asia,ECS,aggregate,94.27240456,99.95033824,14.2102454,52.88079456,11.36966874,10,2.137063289,9.335817902,9.89759328,7.939115947,24.43756159,67.62332074,54.46849299,33.79167755,1.689435492,2.29E+13,1.798952171,24870.57647,1.534042305,4.630020142,95.08445461,95.63419336,81.29189499,1.784150974,40.07177969,58.34454995,439838458,78.18624804,98.20648193,7,17.68017031,97.79181835,96.60271475,null,33.5649771,0.260907436,5.5,5,0.8,1.8,0.7,2.6,null,76.71679688,100.8043137,104.5440369,74.35861969,7,9.244390526,6.64345037,16.58722867,72.40720577,0.541729452,null,13.74419949,82.5961708
Europe & Central Asia (excluding high income),ECA,aggregate,86.63485716,99.88522331,20.04223784,49.54945897,13.76451063,10.5,3.864173707,5.372859175,9.656345426,13.8184745,25.32186474,60.85965496,54.09107701,30.60840694,1.863028933,3.25E+12,2.242776877,8128.395055,1.854996806,4.056914926,95.87709622,96.92630706,76.86990986,2.889860737,37.22056144,58.29573946,182739744,73.9038168,99.11755371,10.29305908,35.54951997,95.82894749,94.0558025,null,17.84178647,0.380717769,5,4,1.199699217,2.547967233,1.022892634,3.574880803,null,59.86875153,99.89293671,99.81482697,75.8442688,7.5,6.960159491,7.212846495,17.326003,67.80730473,0.647427558,null,17.45729042,79.39334293
Europe & Central Asia (IDA & IBRD countries),TEC,aggregate,88.44953425,99.90057059,19.93153778,49.70828763,13.25776569,10,3.844934617,5.571392817,9.934685664,13.6596283,26.1600079,60.180359,54.07142744,30.44290871,1.823116109,4.16E+12,2.646189433,9016.263771,2.338612042,3.916860104,95.54615471,96.42243629,77.05831996,2.675992026,36.76885755,57.97153182,211821024,74.34477431,99.16972351,9.702916909,31.54670217,95.67204362,94.16340605,null,20.0532011,0.300548722,5,4,1.147849741,2.472297095,0.976398491,3.479300418,null,62.82624817,99.10375214,99.96592712,74.3503418,8,7.832496913,6.72767675,16.78416347,66.4924325,0.5539606,null,17.48602283,79.3585093
European Union,EUU,aggregate,100,99.98744781,9.287411641,55.29177401,9.328602174,10,0.995729031,9.926570114,10.4025854,4.349884554,24.98928155,70.66083663,53.5544844,33.43053723,1.525127741,1.57E+13,1.806879835,35077.72858,1.723568893,4.630020142,94.32265,94.71257609,82.75181603,1.630522608,39.34248227,57.38792969,217958466,81.31485796,99.35,3.311755131,15.71288371,99.17100999,98.23257986,null,111.9414092,0.081899351,6,6,0.468029754,1.179848066,0.396666953,1.841483892,null,99.80821991,101.2941208,108.7886429,73.15084076,7,10.95069903,6.679809779,16.89413953,74.73866338,0.379696546,null,10.84916673,84.84711633
Fragile and conflict affected situations,FCS,aggregate,28.0474546,55.50035511,91.51985063,80.66846494,32.88421747,9,18.69661642,4.356273708,9.046954038,46.68937054,12.91577142,40.39485655,57.15049399,35.9604191,4.459539506,1.83E+12,2.213677649,1906.887216,-0.034248463,3.213779926,69.84491161,67.08448682,30.05076429,2.452802141,40.32863013,60.78761167,347354206,62.26889953,65.13777161,53.89779342,53.28001308,66.18900759,44.08086474,null,46.82547221,2.248696256,3,6,5.670211731,9.555628647,8.996801773,12.61932109,null,21.58625984,96.39788818,46.18951035,15.35962009,6,3.208250161,5.983253264,13.2782803,43.27694077,3.085078357,null,69.17416711,28.93619513
Heavily indebted poor countries (HIPC),HPC,aggregate,13.91700704,45.05461638,103.8225422,85.3566507,35.83525738,8.5,22.72027588,4.610716961,7.502587552,56.925845,11.08297467,31.99118409,64.71213726,45.89459456,4.762411747,7.99E+11,4.166104524,980.4439366,1.292633895,3.505815029,78.44451134,73.39003914,20.45900639,2.744038316,49.62098916,67.85691706,315530615,63.33805695,63.6308403,48.11939055,40.95541988,59.10495244,28.70486673,null,42.02674478,2.836801176,3,6,5.996127374,10.68607428,9.190254617,13.58679545,null,25.33774948,103.342453,41.58644867,9.018500328,6,3.914663209,4.63446813,9.112778329,36.55075935,4.181589441,null,77.15006131,20.53330646
High income,HIC,aggregate,99.98635283,99.97263821,11.33089042,53.64921839,10.10508983,10,0.969286475,12.56229948,8.895927962,3.177255255,22.7827383,74.04001611,58.10196028,40.20760188,1.577054362,5.53E+13,1.756643828,44727.7346,1.328529304,4.703259945,94.65132348,93.24003122,88.24935155,1.610767873,45.15067093,61.01418,629704537,80.98430049,97.37,4.3,13.6341825,99.39905671,98.97290556,null,34.89206875,0.422501468,6,6,0.6,1.8,0.5,3,null,83.56311035,100.9604187,105.8094864,78.56021881,6,9.218938662,4.772801374,12.23367317,81.06172493,0.661419448,null,9.117977591,87.59607206
IBRD only,IBD,aggregate,78.01566516,97.87395783,28.27945469,48.27878204,14.92625709,10,9.204278987,5.464177958,7.055681678,26.53005566,25.28366095,48.18627902,55.98900498,32.29410762,1.950307174,3.12E+13,3.988179159,6450.760199,3.173430999,4.042769909,90.3110854,92.56144986,54.68863202,2.557544757,38.75722295,59.55116653,2202541646,74.12980656,89.34327698,18.39000034,33.82186516,94.17829573,83.83877656,null,68.11251264,0.789687958,5,6,1.923679922,3.550396506,1.760083312,4.978445702,null,70.63960266,101.8222122,84.18981171,43.38542938,6,5.292355292,5.981254976,17.98145165,55.72187645,1.87997466,null,45.25336627,51.21874749
IDA & IBRD total,IBT,aggregate,63.83023282,88.65596026,47.46171192,55.61117297,19.19970099,9,11.44916113,5.336472121,7.232663033,31.27547276,22.94128062,45.78324414,56.52371913,34.32657641,2.483616355,3.36E+13,3.979987863,5131.966716,2.77784348,3.704705,85.38575792,85.4178214,47.46741654,2.643281927,39.99518802,59.95176757,2844569646,71.52596368,84.55732727,31.48854101,34.70864718,88.24227161,73.44935407,null,68.239446,1.169653246,3,6,3.041433961,5.158244874,4.022409601,6.596105104,null,58.26195145,101.4725266,72.73384094,34.24385071,6,4.728194912,5.717657886,15.66905061,50.89258172,2.217070543,null,50.47479697,46.19672101
IDA blend,IDB,aggregate,32.41347023,74.09362498,71.86698557,76.9381405,31.87049241,9.5,15.83712949,3.250661405,9.002520145,36.51605478,17.93062059,45.5533291,54.72753992,31.35327241,4.184789445,1.07E+12,2.769534604,1874.584627,0.702425635,3.5753901,72.11566312,70.85348561,32.17633969,2.206073058,35.23392726,57.73856446,198385416,61.33159605,66.48745728,58.21716321,56.64046879,79.75208265,53.60946724,null,130.147127,2.052690346,3,6,5.27128645,7.049888726,8.421605369,8.691190367,null,58.07902145,92.7156601,49.63502121,11.3569603,6,2.522795613,5.21497405,11.23201862,42.6719641,3.22368236,null,63.38607591,34.17669127
IDA only,IDX,aggregate,19.97930008,57.09786234,90.92394825,75.84181943,30.87089582,9,20.48653528,4.050206017,7.098414668,52.17280431,13.70345548,34.12374395,60.21689904,42.31636842,3.942136986,1.39E+12,4.820672343,1206.137997,2.412296252,3.360585093,80.99075527,76.67229967,23.5650508,2.782611637,46.31484083,63.14289795,443642584,65.6417934,67.47814941,44.42363523,49.49839124,67.67592977,39.93891057,null,55.56436366,2.351647389,3,6,4.992297623,9.032661106,7.660604363,11.15517353,null,26.48090935,104.8025208,48.38199997,12.37195015,6,2.822457131,4.633770893,10.43042782,34.65316416,3.923981324,null,70.29274465,26.95864454
IDA total,IDA,aggregate,24.10627898,62.73886234,84.6500557,76.20531703,31.20232334,9,19.05593724,3.692518276,7.729742302,47.35530371,15.00413225,37.640568,58.41407479,38.69852357,4.021180657,2.46E+12,3.879343618,1427.769012,1.591174206,3.484100103,78.00734863,74.7162762,26.50048195,2.726430374,42.65811593,61.36799795,642028000,64.21269888,67.14550018,49.09597966,52.30993219,71.69084884,44.48391585,null,68.59850154,2.252330903,3,6,5.085622853,8.376599506,7.919074453,10.34618953,null,34.47634888,100.8652496,48.81243896,12.03509045,6,2.723498524,4.813361551,10.69495448,37.31465405,3.657060976,null,68.16759851,29.17960007
Late-demographic dividend,LTE,aggregate,82.55512033,99.33475872,21.91637048,44.38026778,11.50265954,10,9.069420544,5.786578303,7.39015569,22.40764568,26.26525467,51.32709982,62.64772356,41.75754517,1.601591007,2.30E+13,4.646903024,9979.374237,4.170939852,4.156610012,94.83532338,97.30447988,68.3551299,2.161762581,48.2594609,66.07380561,1233443211,76.99290643,96.30364227,8.171449266,31.40338345,95.7861653,91.3328519,null,51.86990341,0.456905902,5.5,5.5,1.15643918,2.416501173,0.985535914,3.682114985,null,86.08657837,103.3715363,90.92301178,52.9509201,6.5,6.382687788,5.184725991,13.52104036,63.27388823,1.8128672,null,37.98039914,58.23569681
Latin America & Caribbean,LCN,aggregate,88.52210643,98.00483435,57.30354402,48.99653779,15.5037528,13,4.511552312,7.966224158,6.570456235,14.1773303,20.59864188,65.22402655,58.52716865,40.16613572,1.923763948,5.62E+12,0.738665341,8713.543646,-0.146113763,4.225659847,79.47308042,86.1760504,68.75080952,2.252121914,48.95509965,63.60531153,310686254,75.03834947,94.09378815,14.4,28.46305696,96.79720167,87.64949769,null,32.20328032,0.88607378,6,6,1.6,4.8,1.3,7.2,null,76.43682098,107.3252716,97.63857269,53.1318512,6,6.202928466,7.983433531,17.53400943,80.8888556,1.184134009,null,33.18839344,62.50175503
Latin America & Caribbean (excluding high income),LAC,aggregate,87.59552866,97.85457719,56.91472084,48.66720994,15.62343382,14,4.844336165,7.881217743,6.523968302,14.57793696,20.71666573,64.70539587,59.06223719,41.46409211,1.92467394,4.77E+12,0.68219381,8184.424574,-0.368531072,4.365939856,79.72449542,85.39061701,68.05264456,2.174084133,50.57759485,64.29059092,283731568,74.96199687,93.79974365,14.24763663,28.09408478,96.81968944,86.57892589,null,32.48233542,1.054611453,6,6,1.545988179,4.549652422,1.275628378,6.88765245,null,76.68399811,108.3189926,98.02336121,50.56898117,6,6.335821508,8.131909089,17.65081667,80.42185354,1.397501212,null,33.52747287,62.0635875
